Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R Sudhakar Rao,INDIA,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK Lever,ENG,,,,,,,1,30,5,1,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM Parker,NZ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Troup,NZ,,,,,,,,,,3,17,14,2,39,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM Brearley,ENG,,,,,,,,147,59,270,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC Rose,ENG,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Robinson,AUS,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudassar Nazar,PAK,,,,,,,,53,104,3,7,200,372,194,281,575,356,226,209,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasan Jamil,PAK,,,,,,,,48,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS Serjeant,AUS,,,,,,,,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shafiq Ahmed,PAK,,,,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW Gatting,ENG,,,,,,,,22,3,,19,278,142,83,231,124,102,681,306,58,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
G Miller,ENG,,,,,,,,20,2,4,,,26,64,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ O'Keeffe,AUS,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohsin Khan,PAK,,,,,,,,15,69,,,46,471,256,283,411,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW Hookes,AUS,,,,,,,,14,,9,,,18,641,139,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Willey,ENG,,,,,,,,7,,244,124,100,,,,12,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH Edmonds,ENG,,,,,,,,5,4,22,,,,,,69,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haroon Rasheed,PAK,,,,,,,,5,21,69,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ Hughes,AUS,,,,,,,,5,,222,302,340,236,315,522,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF Malone,AUS,,,,,,,,5,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS Pascoe,AUS,,,,,,,,4,,,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
